id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability,delivery_priority,delivery_stop_id,delivery_data_source
I0049,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0050,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0051,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0052,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0053,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0054,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0055,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0056,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0057,1600,1200,1350,303.920,45,4,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0058,1600,1200,1350,303.920,45,4,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0059,1600,1200,1350,303.920,45,4,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0060,1600,1200,1350,303.920,45,4,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0061,1600,1200,1350,303.920,45,4,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0062,1600,1200,1350,303.920,45,4,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0063,1600,1200,1350,303.920,45,4,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0064,1600,1200,1350,303.920,45,4,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0065,1400,1225,1160,317.000,0,2,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0066,1400,1225,1160,317.000,0,2,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0067,1400,1225,1160,317.000,0,2,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0068,1400,1225,1160,317.000,0,2,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0069,1400,1225,1160,317.000,0,2,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0070,1400,1225,1160,317.000,0,2,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0071,1400,1225,1160,317.000,0,2,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0072,1400,1225,1160,317.000,0,2,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0073,1400,1225,1160,317.000,0,2,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0074,1400,1225,1160,317.000,0,2,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0075,1400,1225,1160,317.000,0,2,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0076,1200,1000,750,227.528,45,1,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0077,780,570,478,101.520,47,0,w,4,3,STOP-003,cross_level_declared_delivery_v1
I0078,780,570,478,270.080,47,0,w,4,4,STOP-004,cross_level_declared_delivery_v1
I0079,1600,1200,930,454.873,45,4,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0080,1600,1200,930,454.873,45,4,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0081,1600,1200,930,454.873,45,4,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0082,1600,1200,930,547.300,45,4,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0083,1600,1200,930,547.300,45,4,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0084,1600,1200,930,547.300,45,4,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0085,1600,1200,1350,303.920,45,4,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0086,1600,1200,1350,303.920,45,4,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0087,1600,1200,1350,303.920,45,4,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0088,1600,1200,1350,303.920,45,4,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0089,1600,1200,1350,303.920,45,4,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0090,1600,1200,1350,303.920,45,4,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0091,1600,1200,930,547.300,45,4,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0092,1600,1200,930,547.300,45,4,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0093,1600,1200,930,547.300,45,4,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0094,1600,1200,930,547.300,45,4,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0095,1600,1200,1350,303.920,45,4,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0096,1600,1200,1350,303.920,45,4,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0097,1200,1000,975,246.000,45,1,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0098,1200,1000,545,729.500,45,1,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0099,1200,1000,545,729.500,45,1,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0100,1600,1200,1350,303.920,45,4,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0101,1200,1000,750,229.880,45,1,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0102,1200,1000,750,229.880,45,1,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0103,1200,1000,750,229.880,45,1,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0104,780,570,478,160.560,47,0,w,4,5,STOP-005,cross_level_declared_delivery_v1
I0105,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0106,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0107,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0108,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0109,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0110,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0111,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0112,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0113,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0114,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0115,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0116,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0117,780,570,478,269.320,47,0,w,4,3,STOP-003,cross_level_declared_delivery_v1
I0118,1600,1200,1350,303.920,45,4,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0119,1600,1200,1350,303.920,45,4,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0120,1600,1200,1350,303.920,45,4,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0121,1600,1200,1350,303.920,45,4,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0122,1600,1200,1350,303.920,45,4,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0123,1600,1200,1350,303.920,45,4,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0124,1600,1200,1350,303.920,45,4,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0125,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0126,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0127,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0128,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0129,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0130,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0131,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0132,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0133,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0134,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0135,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0136,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0137,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0138,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0139,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0140,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0141,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0142,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0143,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0144,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0145,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0146,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0147,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0148,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0149,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0150,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0151,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0152,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0153,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0154,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0155,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0156,1600,1200,1350,207.720,45,4,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0157,1600,1200,1350,207.720,45,4,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0158,1600,1200,1350,207.720,45,4,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0159,1600,1200,1350,207.720,45,4,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0160,1600,1200,1350,207.720,45,4,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0161,1600,1200,1350,207.720,45,4,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0162,1600,1200,1350,207.720,45,4,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0163,1600,1200,1350,207.720,45,4,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0164,1600,1200,1350,207.720,45,4,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0165,1600,1200,1350,207.720,45,4,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0166,1600,1200,1350,207.720,45,4,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0167,1600,1200,1350,207.720,45,4,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0168,1600,1200,1350,207.720,45,4,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0169,1600,1200,1350,207.720,45,4,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0170,1600,1200,1350,207.720,45,4,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0171,1600,1200,1350,207.720,45,4,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0172,1600,1200,1350,207.720,45,4,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0173,1200,1000,750,267.800,45,1,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0174,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0175,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0176,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0177,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0178,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0179,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0180,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0181,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0182,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0183,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0184,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0185,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0186,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0187,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0188,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0189,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0190,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0191,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0192,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0193,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0194,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0195,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0196,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0197,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0198,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0199,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0200,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0201,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0202,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0203,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0204,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0205,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0206,1600,1200,930,438.400,45,4,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0207,1600,1200,930,438.400,45,4,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0208,1600,1200,930,438.400,45,4,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0209,1600,1200,930,438.400,45,4,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0210,1600,1200,930,438.400,45,4,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0211,1600,1200,930,438.400,45,4,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0212,1600,1200,930,438.400,45,4,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0213,1600,1200,930,438.400,45,4,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0214,1600,1200,930,438.400,45,4,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0215,1600,1200,930,438.400,45,4,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0216,1600,1200,930,438.400,45,4,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0217,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0218,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0219,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0220,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0221,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0222,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0223,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0224,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0225,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0226,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0227,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0228,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0229,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0230,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0231,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0232,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0233,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0234,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0235,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0236,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0237,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0238,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0239,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0240,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0241,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0242,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0243,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0244,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0245,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0246,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0247,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0248,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0249,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0250,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0251,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0252,1600,1200,1350,303.920,45,4,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0253,1600,1200,1350,303.920,45,4,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0254,1600,1200,1350,303.920,45,4,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0255,1600,1200,1350,303.920,45,4,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0256,1600,1200,1350,303.920,45,4,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0257,1600,1200,1350,303.920,45,4,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0258,1600,1200,1350,303.920,45,4,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0259,1600,1200,1350,303.920,45,4,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0260,1200,1000,750,227.528,45,1,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0261,1600,1200,1350,207.720,45,4,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0262,1200,1000,930,324.100,45,1,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0263,1200,1000,975,165.375,45,1,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0264,1200,1000,975,165.375,45,1,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0265,1200,1000,975,165.375,45,1,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0266,1200,1000,975,165.375,45,1,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0267,1600,1200,930,277.828,45,4,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0268,1600,1200,1350,207.720,45,4,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0269,1600,1200,1350,207.720,45,4,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0270,780,570,478,101.520,47,0,w,4,1,STOP-001,cross_level_declared_delivery_v1
I0271,780,570,478,96.256,47,0,w,4,2,STOP-002,cross_level_declared_delivery_v1
I0272,780,570,478,96.256,47,0,w,4,3,STOP-003,cross_level_declared_delivery_v1
I0273,780,570,478,96.256,47,0,w,4,4,STOP-004,cross_level_declared_delivery_v1
I0274,780,570,478,96.256,47,0,w,4,5,STOP-005,cross_level_declared_delivery_v1
I0275,1200,1000,975,577.800,45,1,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0276,1200,1000,975,577.800,45,1,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0277,1200,1000,975,577.800,45,1,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0278,1200,1000,975,577.800,45,1,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0279,1200,1000,975,577.800,45,1,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0280,1200,1000,975,577.800,45,1,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0281,1200,1000,975,577.800,45,1,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0282,1200,1000,975,577.800,45,1,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0283,1200,1000,359,29.380,0,6,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0284,1600,1200,1350,303.920,45,4,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0285,1600,1200,1350,303.920,45,4,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0286,1600,1200,1350,303.920,45,4,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0287,1600,1200,1350,303.920,45,4,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0288,1600,1200,1350,303.920,45,4,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0289,1600,1200,1350,303.920,45,4,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0290,1600,1200,1350,303.920,45,4,n,100,1,STOP-001,cross_level_declared_delivery_v1
