shipment_unit_id,outer_length_mm,outer_width_mm,outer_height_mm,gross_mass_kg,delivery_sequence,route_stop,delivery_metadata_source,synthetic_profile_id
L8-000091,437,217,416,98.06,1,STOP-001,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000092,707,357,280,36.306,2,STOP-002,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000093,508,190,339,86.555,3,STOP-003,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000094,725,322,315,61.986,4,STOP-004,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000095,515,456,289,17.877,5,STOP-005,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000096,716,169,382,70.975,1,STOP-001,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000097,248,373,128,6.564,2,STOP-002,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000098,472,160,162,106.849,3,STOP-003,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000099,451,588,173,71.261,4,STOP-004,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000100,618,301,139,69.018,5,STOP-005,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
